date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:26	66/66	---M--	200	added ('OK')	application/octet-stream	etag:%2225c7632663b9a4a417f390692b44ef0e%22	https://new8889.ink/robots.txt		(from )
12:52:27	11287/11287	---M-Z	200	added ('OK')	text/html	etag:%222f064fbdce01e903244156e254159a35%22	https://new8889.ink/	C:/webhtml/new88/new8889.ink/index.html	(from )
12:52:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Jul%202026%2004:52:23%20GMT	https://c7101099447b.ap-northeast-1.sdk.awswaf.com/c7101099447b/5b002dfafbf5/challenge.js	C:/webhtml/new88/c7101099447b.ap-northeast-1.sdk.awswaf.com/c7101099447b/5b002dfafbf5/challenge.0.delayed	(from https://new8889.ink/)
12:52:27	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jul%202026%2004:52:24%20GMT	http://new8889.ink/js/ssodeestsebo.js?single	C:/webhtml/new88/new8889.ink/js/ssodeestsebo.2dd5c.delayed	(from https://new8889.ink/)
12:52:28	644816/644816	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2030%20Jul%202026%2004:52:24%20+0000	https://c7101099447b.9c96bb71.ap-northeast-1.token.awswaf.com/c7101099447b/5b002dfafbf5/challenge.js	C:/webhtml/new88/c7101099447b.9c96bb71.ap-northeast-1.token.awswaf.com/c7101099447b/5b002dfafbf5/challenge.js	(from https://new8889.ink/)
12:52:29	11199/11199	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2030%20Jul%202026%2004:52:25%20GMT	https://new8889.ink:443/js/ssodeestsebo.js?single	C:/webhtml/new88/new8889.ink_443/js/ssodeestsebodd5c.js	(from https://new8889.ink/)
12:52:29	50868/50868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ebf9620a030e1616b2666f8bcd404d51%22	https://dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/preload.bundle.js	C:/webhtml/new88/dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/preload.bundle.js	(from https://new8889.ink/)
12:52:30	6395/6395	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e974cfbcdcf489e6715f88cb2061d61f%22	https://dgdga3.swuacktu.net/system-requirement/libs/js-loading-overlay/1.2.0/js-loading-overlay.min.js	C:/webhtml/new88/dgdga3.swuacktu.net/system-requirement/libs/js-loading-overlay/1.2.0/js-loading-overlay.min.js	(from https://new8889.ink/)
12:52:30	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%2295fe9653f2c45892b7e58090566f510f%22	https://dgdga3.swuacktu.net/system-requirement/libs/@fortawesome/fontawesome-pro/5.15.1/css/all.min.css	C:/webhtml/new88/dgdga3.swuacktu.net/system-requirement/libs/@fortawesome/fontawesome-pro/5.15.1/css/all.min.css	(from https://new8889.ink/)
12:52:31	18454/18454	---MCZ	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/webhtml/new88/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://new8889.ink/)
12:52:31	154597/154597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225be5-n7vuhWVYfwo6iXqEBF16IW76OmQ%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/webhtml/new88/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from https://new8889.ink/)
12:52:32	3398400/3398400	---MCZ	200	added ('OK')	application/javascript	etag:W/%2200d16db4efd366d279d9db939929090e%22	https://dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/vendor.bundle.js	C:/webhtml/new88/dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/vendor.bundle.js	(from https://new8889.ink/)
12:52:36	6043115/6043115	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aa77d87da2721078e010aa224f464707%22	https://dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/main.bundle.js	C:/webhtml/new88/dgdga3.swuacktu.net/system-requirement/Web.PortalNew/UK256-01/f1e6b490ec/main.bundle.js	(from https://new8889.ink/)
